"digits"	"sym"	"int"
0	0.41161914	-3.4816875
3	0.26391211	-4.62975
8	0.33248828	-2.502
0	0.47179688	-4.263875
1	0.13327539	-0.8525
2	0.30964648	-4.949125
2	0.29937891	-5.5686875
9	0.31595508	-5.7154375
0	0.39529102	-4.564375
6	0.25022266	-4.73425
6	0.21973828	-3.86075
5	0.304	-4.2009375
9	0.39480078	-5.1758125
2	0.40496289	-6.0150625
0	0.39301562	-4.5141875
9	0.29694531	-3.1875
1	0.170125	-0.8236875
4	0.31182031	-5.115875
1	0.16058398	-0.5146875
2	0.3134707	-3.9344375
7	0.3470957	-5.96525
1	0.18338477	-1.7868125
0	0.45131445	-4.8573125
9	0.17400391	-2.964
0	0.39408398	-5.8528125
8	0.36280664	-5.8456875
0	0.45438281	-2.711625
7	0.18037891	-3.96825
9	0.15353516	-2.9208125
1	0.18854883	-1.38175
3	0.34718164	-5.0629375
0	0.38668359	-2.8516875
4	0.21601367	-2.9423125
4	0.27704883	-4.812625
3	0.3785957	-3.982125
5	0.33870313	-4.6759375
1	0.14189258	-0.6160625
6	0.25520508	-4.975
8	0.35701172	-4.0114375
5	0.36472656	-5.27075
4	0.29733594	-3.103625
4	0.20225391	-2.3948125
6	0.2812207	-4.057375
8	0.33430859	-3.2810625
4	0.25219727	-3.65825
4	0.32179492	-4.5561875
8	0.29611523	-5.2068125
6	0.25332422	-3.5625625
4	0.32887109	-4.583875
0	0.50985352	-2.284
2	0.32455469	-6.3529375
3	0.31819336	-4.47875
9	0.25239062	-3.4129375
8	0.32277539	-3.7033125
6	0.25852344	-4.745875
8	0.33418555	-2.956375
9	0.30691406	-4.4438125
3	0.36934766	-3.1859375
5	0.32936523	-4.9815
6	0.28472852	-5.4161875
8	0.16690234	-2.8409375
0	0.3864375	-1.5735
2	0.27851172	-5.1588125
2	0.161375	-3.141875
6	0.28683789	-4.4883125
8	0.33725781	-3.869
4	0.4166543	-6.32025
1	0.22682812	-0.9900625
0	0.52532227	-2.8126875
2	0.30006445	-4.989
7	0.18958984	-3.7131875
1	0.14505859	-0.5869375
0	0.45753516	-3.1154375
2	0.25207813	-5.338125
2	0.24014258	-2.9931875
7	0.21730273	-4.058625
1	0.17768945	-0.8363125
0	0.3889375	-3.2738125
9	0.15851172	-2.733375
2	0.39188867	-5.9671875
7	0.36164258	-5.9445
0	0.46608398	-2.914875
4	0.21068945	-3.207875
8	0.25451758	-1.7416875
0	0.30149805	-3.2504375
8	0.30048633	-3.50575
7	0.2030957	-3.4150625
2	0.20572852	-3.8619375
7	0.12221289	-1.896
1	0.093220703	-0.5623125
3	0.20792578	-2.2953125
2	0.34291211	-6.461375
7	0.21591406	-3.963125
3	0.33440625	-3.9676875
2	0.31355664	-4.3781875
2	0.16754883	-3.00825
2	0.2195957	-4.1358125
7	0.14884961	-3.037
1	0.1409375	-0.6854375
0	0.28036523	-3.41475
2	0.15616016	-3.1676875
2	0.16002539	-2.419375
8	0.24953906	-2.5758125
5	0.19998828	-4.3165625
4	0.13074219	-1.6263125
2	0.19980273	-2.6626875
2	0.28785156	-4.107875
7	0.24633398	-4.1683125
8	0.2707207	-4.2679375
7	0.19739063	-3.8541875
0	0.31999023	-3.4375
2	0.1929668	-3.8806875
7	0.12535156	-2.5491875
1	0.1327793	-0.6373125
0	0.31866406	-3.081875
2	0.17541602	-3.6166875
6	0.25545898	-3.367125
0	0.39345312	-2.227625
2	0.34135156	-3.9849375
7	0.21030664	-3.8050625
6	0.34923437	-6.008875
0	0.51370117	-4.112625
8	0.37868359	-4.4215
2	0.29270117	-3.2854375
7	0.21387305	-4.0073125
1	0.15301367	-0.3863125
1	0.13911328	-0.42825
0	0.28839453	-3.682625
1	0.12841992	-0.312625
7	0.17422656	-3.5231875
7	0.21604492	-4.5743125
6	0.24427539	-4.5516875
4	0.15451758	-3.617125
4	0.20004297	-3.977
6	0.17282227	-3.03875
2	0.26468555	-4.594875
9	0.16155273	-2.772875
1	0.13370312	-0.8206875
1	0.19053711	-0.814
9	0.31669531	-5.9090625
0	0.42789844	-4.0163125
3	0.36500586	-4.0619375
1	0.22575	-0.9669375
1	0.10354883	-0.8704375
8	0.22776367	-2.785125
1	0.13164844	-0.6746875
0	0.27570508	-1.7501875
3	0.29884375	-5.16125
1	0.14570117	-0.6723125
6	0.23999219	-3.8719375
1	0.17437305	-1.1169375
1	0.14452539	-0.301
7	0.18840039	-3.832625
5	0.25895117	-4.7979375
5	0.24378906	-4.7823125
3	0.2848457	-4.2438125
6	0.25048242	-4.595625
5	0.29211523	-5.5613125
0	0.27545117	-3.180875
6	0.24038672	-3.35325
8	0.33098047	-2.8483125
8	0.39789844	-2.9333125
0	0.2234082	-2.465375
0	0.28710156	-3.6726875
0	0.29000391	-4.12425
1	0.13310156	-0.8990625
4	0.16800391	-4.0455
9	0.19798242	-3.7665
5	0.18447266	-3.474625
7	0.19091211	-3.9148125
0	0.31611523	-3.318625
0	0.33362305	-3.660375
0	0.34348047	-2.28275
1	0.10353711	-0.32425
6	0.20749805	-4.2295
0	0.40778125	-2.2558125
1	0.11791602	-0.928125
9	0.2853125	-5.6540625
8	0.31657031	-3.592375
6	0.25561523	-4.500125
0	0.31162891	-3.9908125
1	0.15707422	-0.3799375
9	0.10989844	-1.7845
8	0.21885156	-1.7906875
6	0.23658008	-4.75075
8	0.31800195	-2.7066875
0	0.49688477	-3.0741875
0	0.44555664	-2.8524375
9	0.19408008	-3.92775
6	0.18142773	-3.918625
8	0.19188281	-2.0279375
5	0.20691602	-3.74675
4	0.1593418	-2.700125
4	0.13867773	-2.1584375
9	0.18956836	-3.929875
4	0.17995508	-2.70825
0	0.26838477	-3.1514375
8	0.17126758	-2.6516875
6	0.19194531	-3.868625
4	0.26805664	-5.3481875
8	0.29497461	-2.2556875
1	0.17952344	-0.905875
2	0.2980332	-4.735125
1	0.1520625	-0.365125
2	0.37451172	-5.1918125
1	0.14062305	-0.4494375
2	0.36505469	-6.3261875
6	0.22082227	-3.1940625
8	0.28387305	-3.2044375
0	0.19477539	-1.5100625
2	0.22577344	-4.980125
1	0.1064707	-1.0458125
3	0.1932832	-2.9311875
0	0.26169922	-2.8788125
2	0.17110742	-3.0755625
3	0.23298633	-2.002375
2	0.33290039	-3.62125
3	0.22383594	-2.1114375
5	0.20191211	-3.6116875
8	0.40943945	-2.8265625
0	0.42175977	-1.934
2	0.32070508	-4.3083125
7	0.35275195	-5.096875
9	0.31775	-3.28175
0	0.50997461	-1.53175
0	0.52543945	-1.5133125
0	0.5994668	-2.6765
0	0.32251953	-3.13
6	0.24281055	-4.319375
8	0.20573242	-2.702
9	0.1710625	-3.46225
7	0.076144531	-1.757125
7	0.26702148	-5.8805
9	0.28771484	-4.489
4	0.29344141	-5.347125
9	0.24877344	-4.000875
1	0.15307227	-0.6921875
2	0.46189453	-4.7460625
9	0.28038086	-4.51125
4	0.27433398	-3.6994375
5	0.4447832	-5.192375
3	0.44478125	-4.250625
8	0.34373047	-3.911375
5	0.22581641	-4.0114375
7	0.24305469	-4.645625
1	0.14643359	-0.4403125
8	0.24505859	-3.2475
0	0.4480918	-3.61075
1	0.19324805	-1.237
4	0.27416016	-5.666125
6	0.32563867	-6.033
5	0.30793359	-6.8123125
5	0.24226758	-5.4451875
3	0.20360742	-3.3480625
2	0.34991016	-4.7875
0	0.47799219	-2.5883125
1	0.18004688	-0.73
0	0.38176172	-3.197125
6	0.28956836	-6.3693125
6	0.30739453	-6.3014375
6	0.2695293	-5.3064375
6	0.24242383	-3.8374375
0	0.36821094	-2.479875
9	0.28737109	-4.235875
0	0.33624805	-2.221875
2	0.2875332	-5.1054375
6	0.32865234	-6.080125
0	0.31138867	-2.953875
5	0.33945508	-5.1548125
5	0.34478125	-5.5698125
9	0.25563281	-5.0321875
6	0.10011719	-1.7415625
1	0.090535156	-0.549875
7	0.1034375	-2.272875
7	0.10009375	-2.2575
7	0.089693359	-1.929
6	0.2907207	-4.073875
1	0.18330469	-1.0176875
8	0.26678516	-2.513375
2	0.36113672	-5.1243125
0	0.28545508	-4.1744375
6	0.24306445	-4.2538125
0	0.40131641	-2.6543125
5	0.35733008	-5.43475
2	0.36351563	-4.783125
1	0.13256836	-0.4560625
6	0.14360156	-2.328
1	0.13386133	-1.2381875
8	0.25408203	-4.2065
6	0.19375391	-2.2433125
6	0.17743945	-2.8775625
6	0.24010547	-3.806125
0	0.49073242	-3.315625
9	0.17836914	-2.2420625
0	0.49304102	-2.30275
2	0.18582227	-3.371625
6	0.2029668	-3.2101875
0	0.29399219	-2.9063125
2	0.3866875	-5.8071875
5	0.23699023	-4.6709375
6	0.20204297	-4.244125
0	0.34798633	-4.020125
9	0.23387695	-4.2503125
0	0.29919727	-3.645375
2	0.18260156	-3.7633125
6	0.24741992	-3.6719375
0	0.44145898	-2.5428125
5	0.31241797	-5.316625
2	0.29004102	-4.75775
1	0.20066016	-0.89125
6	0.18073242	-3.306625
0	0.24614648	-3.1475
5	0.22704492	-4.5253125
4	0.17343359	-3.47525
6	0.21047461	-3.4828125
6	0.25583398	-4.462875
4	0.187875	-3.811875
7	0.26074023	-4.97875
3	0.27054883	-3.8561875
6	0.31945313	-3.7214375
1	0.22024414	-0.4883125
8	0.3456543	-3.2239375
2	0.19016016	-2.035125
1	0.13918359	-0.2368125
6	0.16511328	-3.0784375
0	0.34317578	-3.28275
9	0.23073633	-3.6994375
0	0.35558789	-3.6624375
2	0.26513867	-4.947625
6	0.22986914	-4.2670625
0	0.37868555	-2.908625
4	0.2849375	-5.4588125
3	0.22860547	-3.5635625
5	0.16456055	-2.7685625
6	0.25695703	-4.2045
0	0.42039648	-3.2233125
5	0.35155469	-4.9226875
6	0.19022461	-2.65175
1	0.14582422	-0.899875
8	0.24648828	-3.09025
2	0.27569727	-5.115
0	0.35105859	-2.2709375
6	0.17742578	-3.540875
0	0.23377734	-4.336375
9	0.2153418	-4.1908125
0	0.25773828	-3.7175625
2	0.22478906	-4.116125
6	0.22826562	-4.2855625
1	0.11248828	-0.94625
8	0.19146289	-3.1794375
0	0.17488281	-1.0215
1	0.11079297	-1.479125
6	0.17953516	-3.5239375
0	0.22948242	-2.170625
5	0.22054102	-4.6275625
2	0.23526758	-3.806875
2	0.22725781	-4.50175
6	0.24360156	-4.0944375
1	0.14000195	-0.3459375
7	0.21878516	-3.5774375
6	0.24295898	-4.509125
1	0.17200195	-1.5355625
6	0.20408203	-4.0919375
0	0.36972461	-1.8185
4	0.18525781	-3.2083125
7	0.21332617	-4.2690625
3	0.31200586	-4.8094375
1	0.17664258	-0.5855625
8	0.32058789	-2.162375
2	0.40533789	-6.4565
6	0.27999219	-5.3160625
0	0.37283398	-2.17775
9	0.24554297	-3.801875
0	0.46744336	-3.1958125
2	0.13626172	-2.8964375
6	0.35347656	-4.989375
1	0.19665234	-1.8435
7	0.27144727	-4.3475
0	0.43983398	-1.9830625
1	0.11981641	-0.8105625
6	0.17929883	-3.351875
0	0.18727148	-2.3613125
5	0.20003516	-3.9598125
2	0.18567383	-3.1919375
2	0.23300781	-4.5359375
0	0.25310938	-3.3103125
9	0.11208398	-2.1299375
2	0.29791797	-4.2606875
7	0.21219141	-4.848875
6	0.24193359	-4.4168125
0	0.29048438	-2.908625
9	0.20078516	-3.2855
0	0.3094082	-3.7965
2	0.13382422	-2.432
6	0.33174023	-5.8703125
1	0.15559375	-1.099625
8	0.343625	-3.1510625
2	0.27994922	-4.938125
1	0.13248242	-0.472
6	0.25383398	-5.38075
1	0.094105469	-1.25525
9	0.19883789	-3.663375
1	0.10238867	-0.5438125
3	0.2238125	-3.79475
6	0.16731445	-3.6010625
0	0.26782617	-3.1501875
9	0.20133789	-4.279625
0	0.26945117	-2.346375
2	0.22071289	-3.80325
6	0.32777344	-5.440125
1	0.16658594	-0.6339375
9	0.26242773	-3.55675
0	0.35231641	-2.5646875
0	0.15948437	-2.029
4	0.11014844	-2.056
6	0.15299414	-3.1221875
2	0.15137891	-3.006625
6	0.27254883	-4.6736875
1	0.14530859	-0.7505625
8	0.30064063	-4.62675
0	0.36882227	-3.3408125
1	0.13091406	-0.335375
4	0.26129492	-2.958625
6	0.28758984	-5.0668125
9	0.22720898	-3.548
9	0.18875977	-2.61775
2	0.19955273	-3.771
9	0.22943359	-3.84
7	0.23842773	-4.6815
1	0.21311133	-0.706
0	0.29429687	-3.6584375
2	0.27325391	-4.1274375
8	0.25929492	-3.3233125
0	0.26806055	-2.1526875
7	0.19726367	-3.866375
0	0.27436719	-2.3890625
2	0.24926172	-4.9521875
9	0.17658008	-3.196125
7	0.20499219	-4.49775
1	0.11116211	-0.5193125
0	0.22574414	-2.3684375
2	0.23277148	-3.7389375
8	0.23530273	-1.1014375
2	0.33430664	-5.211375
3	0.29704883	-3.9256875
4	0.088027344	-1.490625
2	0.25137305	-4.0179375
8	0.28984375	-4.7261875
2	0.35638672	-4.4035
1	0.18099805	-0.7325625
2	0.32558398	-5.3535625
2	0.33105664	-4.730375
8	0.25291602	-4.2434375
6	0.21142773	-3.8814375
5	0.27249219	-4.408625
8	0.20922266	-2.4875625
2	0.22247266	-3.88825
8	0.18249414	-3.0206875
7	0.23956055	-4.2628125
3	0.23852734	-3.167
9	0.20630469	-3.6949375
2	0.21736328	-4.1575
8	0.2452207	-4.069625
2	0.25207227	-3.5475625
1	0.13950195	-0.3895625
7	0.17128516	-3.2225
2	0.31178906	-5.2914375
8	0.47007031	-3.4156875
2	0.42903711	-5.4879375
7	0.26625781	-5.1054375
2	0.34298242	-4.6171875
0	0.34233203	-3.7615
0	0.31919531	-2.3588125
9	0.32689258	-5.5529375
2	0.31602344	-4.9779375
2	0.20891211	-4.05275
8	0.25875391	-3.735125
3	0.28319336	-3.9333125
6	0.32301953	-5.892625
2	0.23894141	-3.915
8	0.25331055	-5.259125
3	0.2803125	-4.0429375
0	0.37255469	-4.3179375
3	0.33800977	-5.073625
2	0.25526562	-5.0723125
8	0.33484375	-4.3180625
6	0.30759375	-4.9255
0	0.44328906	-1.86225
1	0.14158398	-1.0695625
2	0.24241602	-4.259875
8	0.19809375	-3.069
1	0.10040625	-0.363125
0	0.26541797	-2.87675
2	0.32598828	-4.6885625
8	0.23054297	-3.08525
2	0.28779688	-4.5116875
6	0.29525195	-4.3768125
5	0.20799219	-4.0975625
2	0.20727734	-4.0871875
8	0.22968555	-4.1193125
2	0.17242188	-3.959375
6	0.20280859	-4.48875
2	0.34061719	-4.7765625
8	0.39870508	-6.2614375
4	0.2919043	-4.370125
3	0.32891211	-3.746125
2	0.26540234	-4.78625
8	0.33263477	-5.3505
2	0.34503711	-5.2139375
3	0.35856055	-4.7313125
2	0.35044531	-4.216
8	0.25126563	-2.5884375
1	0.17087891	-0.721875
1	0.1547793	-0.430125
2	0.27610742	-4.125
3	0.2579707	-2.818
2	0.31813086	-3.305625
2	0.29736914	-3.4948125
6	0.31284375	-5.4084375
2	0.34364453	-4.4915
1	0.241625	-0.6540625
2	0.25074023	-3.61675
2	0.33061523	-4.770625
2	0.32033008	-5.8004375
1	0.17457617	-0.277875
1	0.18857422	-0.419
6	0.28872656	-4.489375
2	0.32923242	-4.2795625
7	0.38066602	-7.1104375
0	0.51979883	-1.8845625
2	0.30735742	-5.0974375
2	0.37532617	-3.6785
4	0.33907031	-5.9951875
0	0.53860547	-3.504
1	0.23095117	-0.7899375
2	0.29718555	-5.8158125
3	0.2319375	-3.6893125
4	0.13936914	-2.2974375
5	0.35479102	-5.16575
2	0.18749414	-3.6476875
3	0.21820898	-2.6646875
0	0.28378711	-2.2425
6	0.32238477	-4.7973125
0	0.32110547	-2.0231875
9	0.18247852	-3.4698125
3	0.338125	-5.053
0	0.35166406	-3.349
0	0.26153125	-3.40475
3	0.19692188	-3.39575
0	0.28976367	-2.34075
0	0.2684375	-2.4340625
8	0.28254102	-2.7315
8	0.24461719	-3.759875
3	0.31208594	-5.566
0	0.44421484	-2.4914375
0	0.4392168	-2.4121875
8	0.30981836	-2.747
3	0.27745898	-4.6110625
3	0.25940625	-5.0618125
0	0.29695898	-1.7955625
2	0.37076953	-6.1594375
4	0.22047656	-4.6383125
0	0.27430469	-2.704875
3	0.2610918	-2.924625
0	0.2959082	-2.391625
8	0.25489844	-3.386625
1	0.13761328	-0.2299375
5	0.27346484	-5.3194375
3	0.25101953	-5.5248125
0	0.33640039	-2.6640625
2	0.36164258	-6.250875
7	0.22314258	-3.736875
4	0.15067578	-3.0638125
3	0.21958984	-2.6198125
0	0.36859766	-2.314875
8	0.28346094	-1.1570625
0	0.34080859	-1.552
9	0.24064453	-3.48475
3	0.19083008	-3.947625
0	0.27767969	-2.165375
0	0.30784375	-3.0463125
3	0.16535352	-3.2903125
0	0.3090957	-3.85075
2	0.19467773	-4.1794375
3	0.21100977	-3.42
0	0.38376562	-3.8575625
2	0.17297461	-3.49175
4	0.19796094	-2.50025
7	0.20363477	-4.17475
8	0.26345898	-4.1485
1	0.13340625	-0.3335625
1	0.12943359	-0.3091875
1	0.13410156	-0.3480625
1	0.12999609	-0.2566875
2	0.27598633	-4.2910625
1	0.11766797	-0.6435
3	0.308875	-5.303375
7	0.11845703	-2.042875
2	0.32173047	-4.30175
1	0.19902539	-0.705375
0	0.38344141	-3.6039375
3	0.26604102	-4.314875
8	0.28462109	-2.889125
0	0.35373438	-2.158625
3	0.26405078	-4.7771875
7	0.18641211	-3.39775
1	0.11714258	-0.2729375
3	0.25223437	-3.971
0	0.31676953	-2.14075
8	0.1962832	-2.790375
5	0.1849043	-3.6331875
1	0.1092793	-0.1195
6	0.11400195	-1.7169375
8	0.16263086	-2.6108125
5	0.14020508	-2.8765
7	0.13629297	-3.055125
0	0.2551543	-2.345875
8	0.17793555	-1.9318125
9	0.2215957	-3.9154375
1	0.13987891	-0.900375
1	0.1466582	-0.7234375
9	0.13289453	-2.4026875
8	0.28441602	-4.591875
0	0.40021875	-3.975125
0	0.37047461	-4.07375
0	0.43533203	-3.6585
5	0.35932617	-6.08425
2	0.30709375	-4.985375
0	0.34657227	-2.2581875
0	0.33625781	-1.9894375
1	0.18685742	-0.795125
1	0.15216406	-1.026125
2	0.35232031	-6.1666875
0	0.3046875	-2.61025
0	0.3295625	-2.4216875
3	0.33277148	-4.6433125
7	0.21788672	-4.6306875
5	0.33897266	-5.44625
9	0.21762695	-3.75125
4	0.21633789	-4.034625
0	0.30416992	-2.0409375
2	0.26931836	-4.2143125
9	0.15999805	-3.0535
7	0.12933398	-2.5115
4	0.11480469	-2.3643125
1	0.098416016	-0.5598125
0	0.33381445	-2.8750625
2	0.26952539	-5.3805
1	0.18373828	-0.7175625
3	0.26214258	-3.674
0	0.46308789	-2.4643125
0	0.454125	-2.0156875
2	0.30012305	-4.593625
2	0.39472266	-4.070375
1	0.20873242	-0.837375
5	0.26691406	-3.8111875
0	0.30499609	-2.81075
2	0.25833789	-4.347125
1	0.14672852	-0.4580625
0	0.34332617	-3.66225
9	0.15304688	-2.4975
0	0.35253516	-3.5119375
2	0.29372266	-4.1110625
1	0.19811523	-0.6894375
4	0.18969141	-2.3571875
6	0.26433008	-4.84575
0	0.35352734	-2.3345625
1	0.18283203	-1.520625
7	0.20782617	-3.9805
2	0.16129102	-2.2840625
0	0.35586719	-4.579125
0	0.24919336	-1.8699375
1	0.11626172	-0.3598125
9	0.2401582	-4.4295625
0	0.3222207	-2.497375
6	0.19905273	-3.9894375
0	0.52628906	-2.6603125
2	0.35225586	-5.7073125
1	0.1512207	-0.6226875
3	0.27315234	-2.730375
8	0.29831641	-1.8839375
0	0.17047266	-2.255125
1	0.10675781	-0.5901875
9	0.1618418	-2.8759375
7	0.18683984	-4.0678125
0	0.31731445	-4.57025
0	0.31222266	-1.824
1	0.13518945	-1.040625
8	0.32322461	-4.9383125
4	0.27804688	-4.8784375
1	0.12067969	-1.18375
0	0.23729883	-1.4004375
1	0.10128711	-0.4778125
3	0.20678516	-3.22225
6	0.21120898	-3.8875625
4	0.15191211	-2.062875
0	0.43748438	-3.083
2	0.34220117	-4.86175
6	0.33769336	-4.283375
0	0.44503711	-3.56625
1	0.1440918	-0.530375
0	0.28313086	-3.6645625
1	0.12871094	-0.45625
8	0.22491602	-2.3835
3	0.25205078	-2.93175
0	0.27696094	-3.481375
9	0.16104883	-3.1120625
1	0.15054688	-0.7015
0	0.35098438	-2.575
4	0.21545312	-4.1344375
9	0.25381836	-5.42575
8	0.29147852	-2.597125
0	0.2591543	-1.780875
7	0.23519141	-4.2893125
2	0.30457617	-4.800375
0	0.18749023	-3.19425
0	0.24311523	-2.8549375
6	0.25076563	-3.720375
5	0.32707617	-5.3795
0	0.41620703	-3.46575
9	0.40452344	-5.27575
0	0.43799805	-3.4333125
0	0.41267578	-2.2394375
6	0.21123242	-3.571625
3	0.26273438	-3.28225
0	0.37676367	-5.549
0	0.31	-3.2896875
0	0.31063477	-3.77025
9	0.16298828	-3.2735
0	0.28365039	-2.8665
7	0.14931836	-3.0621875
0	0.42345313	-3.9575
0	0.45117969	-3.092
9	0.27837695	-4.208625
3	0.40959766	-4.346125
4	0.31158398	-5.0321875
4	0.24237109	-4.1006875
0	0.42935742	-3.0300625
6	0.30485937	-4.899375
9	0.15584961	-2.3285625
0	0.22990625	-4.26575
0	0.39503906	-4.05675
7	0.16167383	-3.40125
0	0.30292383	-2.5051875
8	0.19753516	-3.424375
0	0.284625	-5.445375
6	0.35706836	-5.6120625
6	0.34130664	-5.77475
0	0.33414648	-4.8459375
0	0.42413672	-4.6000625
9	0.30417187	-4.292125
1	0.22023828	-1.059
8	0.27897461	-2.5580625
6	0.41410156	-6.125625
5	0.36448047	-5.8969375
4	0.24679687	-4.9829375
0	0.42115039	-5.187125
0	0.39049805	-3.56675
6	0.30953711	-4.07725
0	0.44375781	-3.0615
4	0.22739648	-4.514875
0	0.47751758	-4.1559375
0	0.50326758	-2.3361875
7	0.40051758	-6.0948125
5	0.4319082	-4.9931875
8	0.43238867	-2.8535625
0	0.3230332	-5.3358125
0	0.33288867	-4.261125
2	0.26139648	-3.9065
3	0.30964844	-4.2974375
0	0.29560352	-3.0410625
0	0.353	-2.7285
6	0.33800977	-5.994625
6	0.31397852	-5.3356875
0	0.27342773	-2.5523125
0	0.33716992	-1.6179375
9	0.1968457	-2.86375
0	0.32062109	-1.7270625
7	0.19857227	-3.7183125
0	0.25826562	-1.6623125
0	0.31220117	-1.354625
9	0.22780859	-3.81325
2	0.23833789	-3.5234375
3	0.23047852	-4.1770625
0	0.42663086	-3.637125
0	0.47623633	-4.3488125
9	0.25808594	-4.2791875
1	0.19747266	-1.3880625
2	0.25609961	-4.8286875
0	0.2080957	-1.8283125
0	0.21630273	-1.4938125
6	0.18425391	-2.939625
9	0.25841797	-3.5398125
7	0.19793945	-4.1524375
0	0.25568945	-2.894875
7	0.22748242	-4.72475
5	0.34739258	-4.986
4	0.163125	-2.3531875
2	0.46158789	-6.3245
3	0.35771094	-4.2160625
5	0.28666016	-4.5425625
5	0.21938672	-3.08825
7	0.16691602	-3.3095625
1	0.12100586	-0.6644375
8	0.32033984	-3.4545625
8	0.27245117	-3.922625
6	0.24570312	-4.9655625
0	0.33024219	-3.121625
0	0.34599805	-2.140125
1	0.23962695	-3.3054375
8	0.12591406	-1.9669375
0	0.24593945	-2.1311875
2	0.18111133	-3.8718125
0	0.24601367	-2.191
2	0.10470117	-2.0403125
0	0.24747852	-2.792
4	0.19030078	-4.238
8	0.23814258	-3.4095
2	0.25066016	-5.3246875
8	0.3985957	-4.82175
0	0.42885742	-3.095875
6	0.37860742	-5.246875
0	0.38256445	-3.61
2	0.31887695	-4.1925625
1	0.18341992	-0.5265625
3	0.35455664	-3.95475
2	0.28611328	-4.2628125
9	0.16482422	-2.99575
7	0.11273828	-2.7833125
1	0.068253906	-1.364625
0	0.27236914	-3.7054375
4	0.21238867	-3.6073125
0	0.38957813	-2.6315
1	0.15165234	-0.2708125
8	0.24329297	-3.091
5	0.28221484	-5.066125
0	0.34983789	-4.0816875
2	0.29109961	-4.8304375
3	0.25057227	-4.1718125
8	0.25313672	-2.7315
5	0.33359375	-4.6084375
3	0.32633594	-3.9435
4	0.2777832	-4.788875
5	0.24210937	-3.6994375
8	0.27132227	-3.500875
9	0.21739453	-3.4963125
1	0.15173438	-0.3281875
0	0.35217578	-2.085125
7	0.16550391	-3.13475
3	0.32655273	-4.7643125
8	0.35445117	-2.0418125
1	0.17936523	-0.338875
5	0.39511133	-5.375
2	0.3342832	-5.083375
4	0.2340332	-4.46175
6	0.24998438	-4.0945625
2	0.37238281	-5.6673125
0	0.39942773	-6.0199375
6	0.33074023	-4.362625
0	0.46775	-3.990125
1	0.22475195	-0.9225625
